stretching 10.0
type_eddy -1.0
dy 4000.0
H_eddy 1000.0
V0_eddy 0.5
ngrid_y 100.0
Lx 400000.0
Lz 4000.0
dx 4000.0
ngrid_z 30.0
R_eddy 15000.0
power_shape 20.0
refinement 10.0
Ly 400000.0
ngrid_x 100.0
i: 123000, t: 42.621 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.6e-03) ms⁻¹, wall time: 17.941 minutes
i: 124000, t: 42.968 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 2.5e-03) ms⁻¹, wall time: 18.076 minutes
i: 125000, t: 43.316 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.1e-03) ms⁻¹, wall time: 18.216 minutes
i: 126000, t: 43.663 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.2e-03) ms⁻¹, wall time: 18.351 minutes
i: 127000, t: 44.010 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 2.0e-03) ms⁻¹, wall time: 18.490 minutes
i: 128000, t: 44.357 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.2e-03) ms⁻¹, wall time: 18.625 minutes
i: 129000, t: 44.705 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.8e-03) ms⁻¹, wall time: 18.760 minutes
i: 130000, t: 45.052 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 2.4e-03) ms⁻¹, wall time: 18.899 minutes
i: 131000, t: 45.399 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 2.1e-03) ms⁻¹, wall time: 19.034 minutes
i: 132000, t: 45.746 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.0e-03) ms⁻¹, wall time: 19.170 minutes
i: 133000, t: 46.093 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.7e-03) ms⁻¹, wall time: 19.309 minutes
i: 134000, t: 46.441 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 9.6e-04) ms⁻¹, wall time: 19.444 minutes
i: 135000, t: 46.788 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 1.2e-03) ms⁻¹, wall time: 19.579 minutes
i: 136000, t: 47.135 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.4e-03) ms⁻¹, wall time: 19.718 minutes
i: 137000, t: 47.482 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 1.4e-03) ms⁻¹, wall time: 19.853 minutes
i: 138000, t: 47.830 days, Δt: 30 seconds, umax = (4.1e-01, 4.2e-01, 1.4e-03) ms⁻¹, wall time: 19.988 minutes
i: 139000, t: 48.177 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.6e-03) ms⁻¹, wall time: 20.127 minutes
i: 140000, t: 48.524 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.9e-03) ms⁻¹, wall time: 20.262 minutes
i: 141000, t: 48.871 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 2.2e-03) ms⁻¹, wall time: 20.397 minutes
i: 142000, t: 49.218 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 2.1e-03) ms⁻¹, wall time: 20.536 minutes
i: 143000, t: 49.566 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.7e-03) ms⁻¹, wall time: 20.671 minutes
i: 144000, t: 49.913 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 20.806 minutes
i: 145000, t: 50.260 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 20.945 minutes
i: 146000, t: 50.607 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.5e-03) ms⁻¹, wall time: 21.080 minutes
i: 147000, t: 50.955 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.7e-03) ms⁻¹, wall time: 21.215 minutes
i: 148000, t: 51.302 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.3e-03) ms⁻¹, wall time: 21.354 minutes
i: 149000, t: 51.649 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 21.490 minutes
i: 150000, t: 51.996 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 21.625 minutes
i: 151000, t: 52.343 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 21.764 minutes
i: 152000, t: 52.691 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 21.899 minutes
i: 153000, t: 53.038 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 22.038 minutes
i: 154000, t: 53.385 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.5e-03) ms⁻¹, wall time: 22.172 minutes
i: 155000, t: 53.732 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.6e-03) ms⁻¹, wall time: 22.307 minutes
i: 156000, t: 54.080 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.4e-03) ms⁻¹, wall time: 22.446 minutes
i: 157000, t: 54.427 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 22.581 minutes
i: 158000, t: 54.774 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 22.716 minutes
i: 159000, t: 55.121 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 22.855 minutes
i: 160000, t: 55.468 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 22.990 minutes
i: 161000, t: 55.816 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 23.124 minutes
i: 162000, t: 56.163 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 23.272 minutes
i: 163000, t: 56.510 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.3e-03) ms⁻¹, wall time: 23.407 minutes
i: 164000, t: 56.857 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 23.542 minutes
i: 165000, t: 57.205 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 23.681 minutes
i: 166000, t: 57.552 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 23.815 minutes
i: 167000, t: 57.899 days, Δt: 30 seconds, umax = (4.1e-01, 4.1e-01, 9.7e-04) ms⁻¹, wall time: 23.950 minutes
i: 168000, t: 58.246 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 24.089 minutes
i: 169000, t: 58.593 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 9.7e-04) ms⁻¹, wall time: 24.225 minutes
i: 170000, t: 58.941 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 24.359 minutes
i: 171000, t: 59.288 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 24.498 minutes
i: 172000, t: 59.635 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 24.633 minutes
i: 173000, t: 59.982 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 24.769 minutes
i: 174000, t: 60.330 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 24.926 minutes
i: 175000, t: 60.677 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 25.061 minutes
i: 176000, t: 61.024 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.0e-03) ms⁻¹, wall time: 25.200 minutes
i: 177000, t: 61.371 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 25.335 minutes
i: 178000, t: 61.718 days, Δt: 30 seconds, umax = (3.9e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 25.470 minutes
i: 179000, t: 62.066 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.1e-03) ms⁻¹, wall time: 25.608 minutes
i: 180000, t: 62.413 days, Δt: 30 seconds, umax = (4.0e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 25.744 minutes
i: 181000, t: 62.760 days, Δt: 30 seconds, umax = (3.9e-01, 4.1e-01, 1.2e-03) ms⁻¹, wall time: 25.880 minutes
i: 182000, t: 63.107 days, Δt: 30 seconds, umax = (3.9e-01, 4.1e-01, 1.3e-03) ms⁻¹, wall time: 26.019 minutes
